Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
I dont Know,Arivaca Lake > Southern Arizona > Arizona,https://www.mountainproject.com/route/106376192/i-dont-know,4,-1,Boulder,V1,1,20,31.52558,-111.25452
Pink Shorty,Arivaca Lake > Southern Arizona > Arizona,https://www.mountainproject.com/route/106365857/pink-shorty,3,-1,Boulder,V1,1,15,31.52558,-111.25452
,Chiricuah National Monument,https://www.mountainproject.com/area/106257506/chiricahua-national-monument,,,,,,,32.013,-109.339
,Kitt Peak,https://www.mountainproject.com/area/106115346/kitt-peak,,,,,,,31.958,-111.598
,Texas Canyon,https://www.mountainproject.com/area/106147190/texas-canyon,,,,,,,32.06,�-110.077
Amar-EZ,"The ""Gimme Some"" Dome > Tucson Mountains > Southern Arizona > Arizona",https://www.mountainproject.com/route/107313627/amar-ez,0.7,-1,TR,5.6,1,50,32.22666,-111.09504
Mr. Blond,"The ""Gimme Some"" Dome > Tucson Mountains > Southern Arizona > Arizona",https://www.mountainproject.com/route/107296874/mr-blond,0.8,-1,TR,5.7,1,50,32.22666,-111.09504
Hollow Headed Blondes,"The ""Gimme Some"" Dome > Tucson Mountains > Southern Arizona > Arizona",https://www.mountainproject.com/route/107301779/hollow-headed-blondes,1,-1,TR,5.7,1,55,32.22666,-111.09504
Easy Blondes,"The ""Gimme Some"" Dome > Tucson Mountains > Southern Arizona > Arizona",https://www.mountainproject.com/route/107296841/easy-blondes,1.1,-1,TR,5.7+,1,55,32.22666,-111.09504
Blonde Ambition,"The ""Gimme Some"" Dome > Tucson Mountains > Southern Arizona > Arizona",https://www.mountainproject.com/route/107294573/blonde-ambition,1.7,-1,TR,5.8,1,50,32.22666,-111.09504
Should I Stay Or Should I Go?,"The ""Gimme Some"" Dome > Tucson Mountains > Southern Arizona > Arizona",https://www.mountainproject.com/route/107308123/should-i-stay-or-should-i-go,1,-1,TR,5.9-,1,55,32.22666,-111.09504
Don't Mind if I Do,The Corridor > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/116154526/dont-mind-if-i-do,0.5,-1,"Trad, TR",5.4,1,35,32.37786,-111.14325
Righty Tighty,The Corridor > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/115351008/righty-tighty,2.7,-1,"Trad, TR",5.9- R,1,40,32.37786,-111.14325
Lefty Loosey,The Corridor > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/115352843/lefty-loosey,2,-1,"Trad, TR",5.10- R,1,40,32.37786,-111.14325
Unleadened,Roadside Crag > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/119129462/unleadened,1,-1,TR,5.4,1,,32.37634,-111.14268
Cracks in the Asphalt,Roadside Crag > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/118053449/cracks-in-the-asphalt,1,-1,TR,5.6,1,40,32.37634,-111.14268
Low Octane,Roadside Crag > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/116736427/low-octane,1.3,-1,TR,5.6,1,30,32.37634,-111.14268
Traffic Jam,Roadside Crag > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/115355248/traffic-jam,2.3,-1,"Trad, TR",5.8,1,35,32.37634,-111.14268
White Knuckle,Roadside Crag > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/117279294/white-knuckle,1.8,-1,TR,5.9,1,35,32.37634,-111.14268
High Octane,Roadside Crag > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/115376370/high-octane,-1,-1,TR,5.12,1,35,32.37634,-111.14268
Sarsaparilla,The Saloon > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/119673019/sarsaparilla,1,-1,"Sport, TR",5.6,1,35,32.35127,-111.13931
Angel Eyes,The Saloon > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/120127725/angel-eyes,1,-1,"Sport, TR",5.6,1,35,32.35127,-111.13931
Corner Pocket,The Saloon > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/119674620/corner-pocket,2,-1,"Trad, TR",5.7,1,45,32.35127,-111.13931
Sonoran Moonfire,The Saloon > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/116232234/sonoran-moonfire,1.8,-1,Sport,5.8,1,45,32.35127,-111.13931
One Legged Barstool,The Saloon > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/116232247/one-legged-barstool,2,-1,Sport,5.8,1,45,32.35127,-111.13931
Lick My Bolt Hole,The Saloon > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/120242844/lick-my-bolt-hole,2,-1,"Sport, TR",5.8+,1,60,32.35127,-111.13931
Black Tail,The Saloon > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/119523046/black-tail,1.5,-1,"Trad, TR",5.9,1,35,32.35127,-111.13931
Savory Crêpes,The Bakery > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/118578200/savory-crepes,1,-1,Sport,5.7,1,50,32.22836,-111.09583
Crumb Cake,The Bakery > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/118110355/crumb-cake,2,-1,Trad,5.7,1,120,32.22836,-111.09583
Half Baked,The Bakery > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/116497526/half-baked,2,-1,Trad,5.8,1,80,32.22836,-111.09583
Upper Hand Rail,Gimme Some Wash Wall > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/107295942/upper-hand-rail,2,-1,Boulder,V0,1,15,32.22521,-111.09541
TT Traverse,Gimme Some Wash Wall > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/107301754/tt-traverse,2.7,-1,Boulder,V1,1,15,32.22521,-111.09541
The Big Rattler,Rattlesnake Boulders > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/118239253/the-big-rattler,1,-1,Boulder,V0,1,15,32.37574,-111.14297
Roadside 1,Rattlesnake Boulders > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/120131104/roadside-1,2,-1,Boulder,V0,1,20,32.37574,-111.14297
Roadside 2,Rattlesnake Boulders > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/120131174/roadside-2,2,-1,Boulder,V0,1,15,32.37574,-111.14297
The Little Rattler,Rattlesnake Boulders > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/118239268/the-little-rattler,2,-1,Boulder,V2,1,15,32.37574,-111.14297
Rattler Traverse,Rattlesnake Boulders > Rattlesnake Pass > Tucson Mountains > Southern Arizona > Arizona,https://www.mountainproject.com/route/118239274/rattler-traverse,2,-1,Boulder,V2,1,15,32.37574,-111.14297
Gunfight Slab Center,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106651697/gunfight-slab-center,2,-1,Boulder,V0 PG13,1,25,32.21669,-111.11127
Morning amnesia,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/118324908/morning-amnesia,1,-1,Boulder,V0,1,,32.21669,-111.11127
Big Bulge Easy,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105801661/big-bulge-easy,2.1,-1,Boulder,V0,1,,32.21669,-111.11127
Morning regret,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/118324943/morning-regret,1.7,-1,Boulder,V0,1,,32.21669,-111.11127
Daisy if you Do,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/119302790/daisy-if-you-do,1,-1,Boulder,V0+ PG13,1,15,32.21669,-111.11127
Cracked Face,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106021273/cracked-face,2,-1,Boulder,V1-,1,12,32.21669,-111.11127
Cholla Magnet Direct,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/119302721/cholla-magnet-direct,2,-1,Boulder,V1 PG13,1,10,32.21669,-111.11127
North Arete - Big Lower Boulder,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106021284/north-arete-big-lower-boulder,2,-1,Boulder,V1 R,1,20,32.21669,-111.11127
Left-Right Traverse - Small Upper Boulder,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105942719/left-right-traverse-small-upper-boulder,3,-1,Boulder,V1,1,20,32.21669,-111.11127
Northwest Arete,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106894035/northwest-arete,2.4,-1,Boulder,V1 PG13,1,25,32.21669,-111.11127
"Left Arete, Small Upper",Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106081260/left-arete-small-upper,1.5,-1,Boulder,V1,1,,32.21669,-111.11127
Big Undercling,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105801209/big-undercling,2.4,-1,Boulder,V1,1,,32.21669,-111.11127
Right Dihedral,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105942515/right-dihedral,1.4,-1,Boulder,V1+,1,,32.21669,-111.11127
Cholla Traverse?,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106682388/cholla-traverse,2,-1,Boulder,V1-2 PG13,1,20,32.21669,-111.11127
Hantavirus Hang,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/118100855/hantavirus-hang,2,-1,Boulder,V1-2,1,,32.21669,-111.11127
Cruiser arete,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/118324824/cruiser-arete,2,-1,Boulder,V2,1,18,32.21669,-111.11127
"Middle Inside Corner, Lower",Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106107280/middle-inside-corner-lower,1.3,-1,Boulder,V2,1,20,32.21669,-111.11127
The Negative,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106069164/the-negative,2,-1,Boulder,V2+,1,,32.21669,-111.11127
Main Upper Prow Jug to Right,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106080583/main-upper-prow-jug-to-right,2,-1,Boulder,V3,1,,32.21669,-111.11127
No Feet Traverse,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105801188/no-feet-traverse,1.9,-1,Boulder,V3,1,,32.21669,-111.11127
Hidden Problem,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/107101339/hidden-problem,3,-1,Boulder,V3-4 R,1,10,32.21669,-111.11127
Hidden Traverse,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/107103133/hidden-traverse,3,-1,Boulder,V3-4 PG13,1,10,32.21669,-111.11127
Lower N. Face Traverse,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/107101369/lower-n-face-traverse,2,-1,Boulder,V3-4,1,,32.21669,-111.11127
Shelf traverse,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/118324767/shelf-traverse,3,-1,Boulder,V4,1,,32.21669,-111.11127
The Cereal Bowl,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/118724670/the-cereal-bowl,1.5,-1,Boulder,V4,1,10,32.21669,-111.11127
Main Upper Prow Jug to Left,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106080578/main-upper-prow-jug-to-left,2.9,-1,Boulder,V4,1,,32.21669,-111.11127
Cholla Magnet,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/119302766/cholla-magnet,2,-1,Boulder,V4 PG13,1,15,32.21669,-111.11127
Roof Problem,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106106255/roof-problem,1.7,-1,Boulder,V4,1,,32.21669,-111.11127
Scary Fall of Death,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106893999/scary-fall-of-death,3.5,-1,Boulder,V4 X,1,27,32.21669,-111.11127
Northwest Face - Big Lower Boulder,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106021299/northwest-face-big-lower-boulder,2.6,-1,Boulder,V4,1,,32.21669,-111.11127
Fault Finder,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106424094/fault-finder,2.5,-1,Boulder,V5,1,18,32.21669,-111.11127
Left dihedral Bulge Variation,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106894017/left-dihedral-bulge-variation,2,-1,Boulder,V5-6,1,25,32.21669,-111.11127
Broken Rubber,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106106251/broken-rubber,2.9,-1,Boulder,V6,1,,32.21669,-111.11127
Right Arm Problem,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/120294497/right-arm-problem,3,-1,Boulder,V7,1,,32.21669,-111.11127
One Move Wonder,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106106240/one-move-wonder,2,-1,Boulder,V7,1,,32.21669,-111.11127
Farstrider,Gate's Pass > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/118303532/farstrider,3.7,-1,Boulder,V10,1,15,32.21669,-111.11127
West Face Middle,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111246267/west-face-middle,1.2,-1,Boulder,V-easy,1,15,32.39555,-111.14394
West Face South End,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111246211/west-face-south-end,1.4,-1,Boulder,V0-,1,15,32.39555,-111.14394
Easy Unknown arete,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106424076/easy-unknown-arete,1.7,-1,Boulder,V0+,1,16,32.39555,-111.14394
Big Hole,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111378617/big-hole,1.7,-1,Boulder,V0+,1,18,32.39555,-111.14394
Traverse Left,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105900724/traverse-left,2,-1,Boulder,V0-1,1,20,32.39555,-111.14394
Hole Right,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105900730/hole-right,2,-1,Boulder,V1,1,,32.39555,-111.14394
Hole Left,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105900734/hole-left,2,-1,Boulder,V1-2,1,10,32.39555,-111.14394
Unknown Arete,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105900720/unknown-arete,2,-1,Boulder,V2-3,1,15,32.39555,-111.14394
Long Traverse,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111649510/long-traverse,3,-1,Boulder,V3,1,30,32.39555,-111.14394
Unnamed  Steep Blunt Face,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106424069/unnamed-steep-blunt-face,1.8,-1,Boulder,V3-4,1,14,32.39555,-111.14394
Westface Arete Sit,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106560614/westface-arete-sit,1.8,-1,Boulder,V5,1,10,32.39555,-111.14394
Unknown Arete Direct Start,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/108625987/unknown-arete-direct-start,2,-1,Boulder,V6,1,12,32.39555,-111.14394
Westface Sit,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106560617/westface-sit,2.7,-1,Boulder,V6,1,,32.39555,-111.14394
Arete Traverse Extension,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/107602137/arete-traverse-extension,2.5,-1,Boulder,V7,1,25,32.39555,-111.14394
Long Traverse Variation,Lower Boulders > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106560622/long-traverse-variation,3,-1,Boulder,V7-8,1,30,32.39555,-111.14394
Other Warm-up,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106690366/other-warm-up,1,-1,Boulder,V0,1,,32.39552,-111.14302
Lip Traverse East,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111507954/lip-traverse-east,2,-1,Boulder,V0+,1,,32.39552,-111.14302
[Redacted],Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106690361/redacted,1,-1,Boulder,V1,1,6,32.39552,-111.14302
Block Pinch,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106649087/block-pinch,1.5,-1,Boulder,V1,1,8,32.39552,-111.14302
Javelina Center,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106136836/javelina-center,2.1,-1,Boulder,V1-2,1,,32.39552,-111.14302
Silverbell Lip Traverse,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106134094/silverbell-lip-traverse,2,-1,Boulder,V2,1,25,32.39552,-111.14302
Guy,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106647491/guy,1.6,-1,Boulder,V2-3,1,9,32.39552,-111.14302
Javelina Right,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106136851/javelina-right,1.9,-1,Boulder,V3-4,1,,32.39552,-111.14302
Drilled Pockets,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105900741/drilled-pockets,1.7,-1,Boulder,V4-5,1,15,32.39552,-111.14302
Bush of Evil,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106690356/bush-of-evil,2,-1,Boulder,V5,1,7,32.39552,-111.14302
The Arete,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106106215/the-arete,2.3,-1,Boulder,V5,1,9,32.39552,-111.14302
"The ""O"" Dyno",Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106637296/the-o-dyno,1.8,-1,Boulder,V6-,1,8,32.39552,-111.14302
Hueco Placebo,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106144009/hueco-placebo,2.7,-1,Boulder,V6,1,10,32.39552,-111.14302
F in A Dyno,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106926125/f-in-a-dyno,2.1,-1,Boulder,V6,1,10,32.39552,-111.14302
The Rails,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/105900716/the-rails,2.9,-1,Boulder,V6,1,10,32.39552,-111.14302
Javelina Left,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106136823/javelina-left,2.2,-1,Boulder,V6 PG13,1,,32.39552,-111.14302
"Bad Pinch, Bad!",Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106649094/bad-pinch-bad,2,-1,Boulder,V6-7 PG13,1,,32.39552,-111.14302
Underframe Traverse,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106610703/underframe-traverse,3,-1,Boulder,V7,1,25,32.39552,-111.14302
Pocket Stuffer,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106115621/pocket-stuffer,2.2,-1,Boulder,V7,1,6,32.39552,-111.14302
Little Guy,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106649077/little-guy,3,-1,Boulder,V7,1,10,32.39552,-111.14302
A-Frame Crimps,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106106219/a-frame-crimps,2.1,-1,Boulder,V7-8,1,,32.39552,-111.14302
No Pockets,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106837066/no-pockets,2,-1,Boulder,V8,1,11,32.39552,-111.14302
Maximum Value,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106962802/maximum-value,2.5,-1,Boulder,V9-10,1,55,32.39552,-111.14302
Tage Der Schurzen,Javelina Cave and the A Frame > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106666498/tage-der-schurzen,2.7,-1,Boulder,V10,1,10,32.39552,-111.14302
Sharp Dihedral,Sharp Boulder > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106664066/sharp-dihedral,1.5,-1,Boulder,V-easy,1,9,32.3954,-111.1428
Sharp Arete',Sharp Boulder > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106663926/sharp-arete,1.5,-1,Boulder,V0,1,10,32.3954,-111.1428
Sharp Right,Sharp Boulder > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106663937/sharp-right,2,-1,Boulder,V0+,1,10,32.3954,-111.1428
Spine Arete',Sharp Boulder > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106663907/spine-arete,1.7,-1,Boulder,V1,1,8,32.3954,-111.1428
Sharp Middle,Sharp Boulder > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106663955/sharp-middle,2,-1,Boulder,V2,1,11,32.3954,-111.1428
Sharp Toss,Sharp Boulder > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106664005/sharp-toss,2,-1,Boulder,V3,1,12,32.3954,-111.1428
Sharp Traverse,Sharp Boulder > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106664024/sharp-traverse,2,-1,Boulder,V3,1,15,32.3954,-111.1428
Easy Orange,South Cluster > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106749789/easy-orange,1.3,-1,Boulder,V0,1,10,32.3947,-111.14381
Welcome to Silverbell,South Cluster > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111378800/welcome-to-silverbell,1,-1,Boulder,V0,1,14,32.3947,-111.14381
Ball Buster,South Cluster > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106749743/ball-buster,1.3,-1,Boulder,V1,1,8,32.3947,-111.14381
Reach Around,South Cluster > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106749784/reach-around,2,-1,Boulder,V2,1,10,32.3947,-111.14381
Triangle Pinch,South Cluster > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106749779/triangle-pinch,3,-1,Boulder,V3 PG13,1,12,32.3947,-111.14381
Junk Punch,South Cluster > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106749763/junk-punch,2,-1,Boulder,V4,1,10,32.3947,-111.14381
Butt Scratcha,South Cluster > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106749751/butt-scratcha,2,-1,Boulder,V5 PG13,1,10,32.3947,-111.14381
Ball Cupper,South Cluster > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/106749772/ball-cupper,3,-1,Boulder,V6,1,13,32.3947,-111.14381
Easy Hole,El Hueco Sucio > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111398609/easy-hole,1,-1,Boulder,V-easy,1,12,32.39526,-111.14314
Holy Arete!,El Hueco Sucio > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111398596/holy-arete,1,-1,Boulder,V0-,1,8,32.39526,-111.14314
Hueco Sucio Right,El Hueco Sucio > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111398578/hueco-sucio-right,1,-1,Boulder,V0,1,12,32.39526,-111.14314
The Black Whole,El Hueco Sucio > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111398458/the-black-whole,1.5,-1,Boulder,V0+,1,12,32.39526,-111.14314
Hueco Sucio Left,El Hueco Sucio > Silverbell Boulders - Closed to all > Tucson Area Bouldering > Southern Arizona > Arizona,https://www.mountainproject.com/route/111400648/hueco-sucio-left,1,-1,Boulder,V0+,1,10,32.39526,-111.14314
