Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Hand of Sceiron,Camel's Head > Camel's Head Area > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/107916659/hand-of-sceiron,2,-1,Trad,5.10+ PG13,3,350,34.86131,-111.75048
Tequila Sunrise,Camel's Head > Camel's Head Area > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/108975352/tequila-sunrise,2,-1,Trad,5.10+ R,3,350,34.86131,-111.75048
Brown Power Tower,Brown Power Tower > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/110145942/brown-power-tower,1,-1,Trad,5.9+ R,4,350,34.85969,-111.74228
Get Over It!,The Brick House > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111567089/get-over-it,2.8,-1,Trad,5.11c,1,100,34.85999,-111.74832
Crystal Gratitude,The Brick House > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111503969/crystal-gratitude,3.3,-1,Trad,5.12a,1,100,34.85999,-111.74832
From the Corner to the Block,The Brick House > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111605988/from-the-corner-to-the-block,4,-1,Sport,5.12b,1,90,34.85999,-111.74832
Holy Sick,Holy Sick > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111538483/holy-sick,3,-1,Trad,5.11+,3,200,34.86075,-111.74874
East Chimney,Screaming Besengi > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111659867/east-chimney,2,-1,Trad,5.9 PG13,1,200,34.84878,-111.73537
Rotor Rampage,Self Loathing National Monument > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111665400/rotor-rampage,3.7,-1,Trad,5.11+,5,400,34.85672,-111.73983
Kinda Perverted,Old Man Tower > Marg's Draw > Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/111740439/kinda-perverted,2.5,-1,Trad,5.10+,2,150,34.85888,-111.74237
